Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
25	:	1569850552.825	     6.473	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Dhrystone/fldry && timeout --signal=TERM 0 ./NO_SSA_fldry.exe   < /dev/null &> /dev/null
26	:	1569850559.301	     2.148	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/McGill/chomp && timeout --signal=TERM 0 ./NO_SSA_chomp.exe   < /dev/null &> /dev/null
27	:	1569850561.452	     0.004	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/McGill/exptree && timeout --signal=TERM 0 ./NO_SSA_exptree.exe   < /dev/null &> /dev/null
28	:	1569850561.458	     0.263	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/McGill/misr && timeout --signal=TERM 0 ./NO_SSA_misr.exe   < /dev/null &> /dev/null
29	:	1569850561.724	     3.578	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/McGill/queens && timeout --signal=TERM 0 ./NO_SSA_queens.exe   < /dev/null &> /dev/null
30	:	1569850565.304	     0.335	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/automotive-basicmath && timeout --signal=TERM 0 ./NO_SSA_automotive-basicmath.exe  < /dev/null &> /dev/null
31	:	1569850565.642	     0.197	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/automotive-bitcount && timeout --signal=TERM 0 ./NO_SSA_automotive-bitcount.exe  1125000  < /dev/null &> /dev/null
32	:	1569850565.843	     0.295	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/automotive-susan && timeout --signal=TERM 0 ./NO_SSA_automotive-susan.exe  input_large.pgm Output/output_large.smoothing.pgm -s  < /dev/null &> /dev/null
33	:	1569850566.154	     0.039	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/consumer-jpeg && timeout --signal=TERM 0 ./NO_SSA_consumer-jpeg.exe  -dct int -ppm -outfile Output/output_large_decode.ppm input_large.jpg  < /dev/null &> /dev/null
34	:	1569850566.197	     0.241	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/consumer-lame && timeout --signal=TERM 0 ./NO_SSA_consumer-lame.exe  large.wav Output/output_large.mp3  < /dev/null &> /dev/null
35	:	1569850566.441	     0.155	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/network-dijkstra && timeout --signal=TERM 0 ./NO_SSA_network-dijkstra.exe  input.dat  < /dev/null &> /dev/null
36	:	1569850566.600	     0.176	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/network-patricia && timeout --signal=TERM 0 ./NO_SSA_network-patricia.exe  large.udp  < /dev/null &> /dev/null
37	:	1569850566.778	     0.006	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/office-stringsearch && timeout --signal=TERM 0 ./NO_SSA_office-stringsearch.exe  < /dev/null &> /dev/null
38	:	1569850566.788	     0.004	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/security-blowfish && timeout --signal=TERM 0 ./NO_SSA_security-blowfish.exe  d output_large.enc output_large.asc 1234567890abcdeffedcba0987654321  < /dev/null &> /dev/null
39	:	1569850566.795	     0.095	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/security-rijndael && timeout --signal=TERM 0 ./NO_SSA_security-rijndael.exe  input_large.asc large.enc e 1234567890abcdeffedcba09876543211234567890abcdeffedcba0987654321  < /dev/null &> /dev/null
40	:	1569850566.893	     0.084	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/security-sha && timeout --signal=TERM 0 ./NO_SSA_security-sha.exe  input_large.asc  < /dev/null &> /dev/null
41	:	1569850566.979	     0.468	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/telecomm-CRC32 && timeout --signal=TERM 0 ./NO_SSA_telecomm-CRC32.exe  large.pcm  < /dev/null &> /dev/null
42	:	1569850567.451	     0.043	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/MiBench/telecomm-FFT && timeout --signal=TERM 0 ./NO_SSA_telecomm-FFT.exe  8 32768 -i  < /dev/null &> /dev/null
43	:	1569850567.498	     0.959	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/dt && timeout --signal=TERM 0 ./NO_SSA_dt.exe   < /dev/null &> /dev/null
44	:	1569850568.460	     0.710	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/evalloop && timeout --signal=TERM 0 ./NO_SSA_evalloop.exe   < /dev/null &> /dev/null
45	:	1569850569.172	     1.177	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/fbench && timeout --signal=TERM 0 ./NO_SSA_fbench.exe   < /dev/null &> /dev/null
46	:	1569850570.353	     1.150	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/ffbench && timeout --signal=TERM 0 ./NO_SSA_ffbench.exe   < /dev/null &> /dev/null
47	:	1569850571.505	     6.873	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops && timeout --signal=TERM 0 ./NO_SSA_flops.exe   < /dev/null &> /dev/null
48	:	1569850578.381	     1.589	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-1 && timeout --signal=TERM 0 ./NO_SSA_flops-1.exe   < /dev/null &> /dev/null
49	:	1569850579.973	     1.228	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-2 && timeout --signal=TERM 0 ./NO_SSA_flops-2.exe   < /dev/null &> /dev/null
50	:	1569850581.205	     1.913	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-3 && timeout --signal=TERM 0 ./NO_SSA_flops-3.exe   < /dev/null &> /dev/null
51	:	1569850583.191	     0.962	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-4 && timeout --signal=TERM 0 ./NO_SSA_flops-4.exe   < /dev/null &> /dev/null
52	:	1569850584.155	     1.661	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-5 && timeout --signal=TERM 0 ./NO_SSA_flops-5.exe   < /dev/null &> /dev/null
53	:	1569850585.818	     1.680	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-6 && timeout --signal=TERM 0 ./NO_SSA_flops-6.exe   < /dev/null &> /dev/null
54	:	1569850587.501	     1.094	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-7 && timeout --signal=TERM 0 ./NO_SSA_flops-7.exe   < /dev/null &> /dev/null
55	:	1569850588.597	     1.748	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/Misc/flops-8 && timeout --signal=TERM 0 ./NO_SSA_flops-8.exe   < /dev/null &> /dev/null
